successorfail,moneygoal,image,projectdetail,riskchallengedetail,numberofpackage,avemoneypackage,minmoneypackage,maxmoneypackage,category_animemanga,category_game,category_kosumebeauty,category_startup,category_sports,category_technology,category_fashion,category_food,category_product,category_restaurants,category_world,category_bookjournalism,category_regionalactivation,category_movie,category_communityservice,category_music
1,500000,33,1433,186,14,139964,30000,255200,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,200000,34,1348,230,10,11645,550,57810,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,3000000,20,2185,117,11,10580,1980,24800,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,1000000,17,1319,159,17,137664,1600,1787500,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,3000000,36,2704,0,17,110695,3000,525000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,1000000,11,513,0,10,19512,8800,51600,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,1000000,47,1751,0,6,24083,13000,39500,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,1000000,42,1718,92,10,103984,55986,161982,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,4000000,39,2868,175,26,118073,4000,525000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,400000,17,846,116,24,16252,2233,107033,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,5000000,32,1807,0,5,64800,60480,69120,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,500000,43,2934,389,10,181060,8800,328000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,1000000,31,1866,0,6,24033,14400,40500,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,1000000,51,5477,0,8,17900,3980,32780,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,1000000,25,2039,0,2,49700,39800,59600,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
